ID,Nome,Ambito,Skills,Descrizione,Stato,Max_Persone,id_persone
1,Portale E-Commerce,Informatica,HTML;CSS;JavaScript;React,Sviluppo di un portale per la vendita online di prodotti artigianali,Disponibile,8,[]
2,Analisi Mercato Finanziario,Finanza,Python;SQL;Excel;Data Visualization,Progetto di analisi dati per individuare trend di investimento,Pieno,5,[2,29,32,22,31]
3,Restyling Brand Aziendale,Design,Photoshop;Illustrator;Branding,Creazione di una nuova identità visiva per un'azienda di moda,Disponibile,6,[]
4,Gestione Cantieri,Edilizia,AutoCAD;SketchUp;Project Management,Implementazione di un sistema di monitoraggio lavori,Pieno,10,[4,34,25,36]
5,Piattaforma E-Learning,Educazione,HTML;CSS;JavaScript;LMS,Creazione di un portale per corsi online interattivi,Disponibile,12,[]
6,Campagna Social Media,Marketing,Content Creation;SEO;Analytics,Strategia di comunicazione per il lancio di un nuovo prodotto,Pieno,7,[6,17,24]
7,App di Telemedicina,Sanità,Flutter;API;Cybersecurity,Sviluppo di un'app per consulti medici a distanza,Disponibile,9,[]
8,Automazione Linea Produttiva,Manifattura,PLC;Robotica;Manutenzione,Ottimizzazione della produzione con sistemi automatizzati,Pieno,15,[8,25,36]
9,Progetto Energia Verde,Energia,Fonti Rinnovabili;Analisi Consumi;CAD,Installazione di impianti fotovoltaici per aziende agricole,Disponibile,10,[]
10,Gestione Magazzino,Logistica,Inventario;Barcode;ERP,Digitalizzazione della gestione di magazzino,Pieno,6,[10,24]
11,Portale Immobiliare,Vendite,PHP;MySQL;UX Design,Sviluppo di un sito per annunci immobiliari,Disponibile,8,[]
12,Podcast Culturale,Media,Editing Audio;Storytelling;Marketing,Produzione di un podcast su arte e cultura,Pieno,4,[12,6]
13,Mostra Fotografica,Arte,Fotografia;Curatela;Allestimento,Organizzazione di una mostra di fotografia contemporanea,Disponibile,5,[]
14,App Allenamento,Sport,Flutter;UX;Gamification,Sviluppo di un'app per allenamenti personalizzati,Pieno,6,[14,35,38]
15,Servizio di Consulenza HR,Risorse Umane,Recruitment;Formazione;Gestione Conflitti,Creazione di un portale per servizi HR,Disponibile,7,[]
16,Progetto Agricoltura Smart,Agricoltura,IoT;Sensoristica;Data Analysis,Monitoraggio colture con sensori intelligenti,Pieno,8,[16,29]
17,Portale Legale,Legale,WordPress;SEO;Content Writing,Sito informativo su servizi legali,Disponibile,5,[17,37]
18,App di Ricette,Ristorazione,React Native;UX;API,Sviluppo di un'app con ricette e consigli culinari,Pieno,6,[18,38]
19,Progetto Inclusione Sociale,Sanità,Psicologia;Mediazione;Supporto Famiglie,Programma di supporto per famiglie in difficoltà,Disponibile,10,[19,39]
20,Servizio di Traduzione,Educazione,Inglese;Francese;Spagnolo,Creazione di una piattaforma di traduzione online,Pieno,5,[20]
